input;output
Ungkap Salah Satu Penyakit Pemilu, Mahfud: Banyak Politik Uang di KPU;Negative
Respons Pidato Kenegaraan Jokowi, Sekjen PKS Harap Presiden Mampu Bersikap Netral di Pemilu 2024;Positive
Relawan Ngotot Dukung Kaesang Maju Pilkada Depok;Negative
Mendagri Minta Pemda Sukseskan Pemilu dan Pilkada Serentak di 2024;Positive
Nilai ekonomi digital Indonesia cukup besar mencapai 100 miliar dolar;Positive
Seorang Ibu tega menjual anak kandungnya menjadi pekerja prostitusi PSK Hal yang paling mengejutkan adalah sang Ibu merupakan Pegawai Negeri Sipil PNS Kabupaten Bengkulu Selatan Adapun alasan pelaku menjual anaknya menjadi PSK tak lain dan tak bukan karena faktor ekonomi;Negative
Inflasi Juli 2023 Landai, Ekonom Minta Pemerintah Tetap Waspada;Positive
Inflasi di Maumere Capai 2,80 Persen pada Juli 2023, Tarif Angkutan Udara Pemicu Terbesar;Negative
Harga Beras Naik, Tembus Rp28 Ribu per Kg di Palangkaraya;Negative
Bulog Percepat Impor 700 Ribu Ton Beras Demi Hadapi El Nino;Positive
Pengusaha Geram! Utang Rp 344 M Tak Dibayar, Ancam Minyak Goreng Langka Lagi;Negative
DMO Minyak Goreng Turun Jadi 300.000 Per Bulan;Positive
"Awal September, Masyarakat Bisa Jajal Naik Kereta Cepat secara Gratis";Positive
"Uji Coba Kereta Cepat Mundur, Jokowi Jajal Bulan Depan Bareng Dubes";Negative
"PNS Kemenkumham Maling Motor, Beraksi di Pasar Jongkok dan Kantor Kecamatan Cilincing";Negative
Syarat Dihapus, Semua Bisa Dapat Subsidi Motor Listrik Rp 7 Juta!;Positive
"Survei LSI: Kepuasan Publik ke Ketum PSSI Erick Thohir 88,7%";Positive
"Liga 2 Dihentikan, Persib Kecewa dengan Keputusan PSSI";Negative
Sederet Fakta Kericuhan Sepak Bola Tarkam 'Berdarah' di Cianjur;Negative
Tokoh Perempuan Minang Nilai Sepak Bola Tidak Hanya Olahraga Tetapi Juga Pembelajaran Soal Sportifitas dan Persatuan;Positive
Final Sepak Bola SEA Games 2023: Kalah dari Indonesia, Bek Thailand Lempar Medali ke Penonton;Negative
Klasemen Sepak Bola SEA Games 2023 Usai Indonesia Menang atas Filipina;Positive
Kumpulkan Data Anak Tanpa Izin, Microsoft Bayar Denda 20 Juta Dollar AS;Negative
Microsoft Tambah Investasi ke OpenAI, Perusahaan AI Pembuat ChatGPT;Positive
Terbukti Langgar Paten, Google Dituntut Ganti Rugi Rp 5 Triliun;Negative
Google Indonesia Buka Lowongan Kerja, Ini Posisi dan Syaratnya;Positive
Gara-gara Saham Apple Jeblok, S&P dan Nasdaq Merosot;Negative
Apple Watch Masih Rajai Pasar Smartwatch Dunia;Positive
"KPK Ungkap Selisih Ekspor Ore Nikel Ilegal ke China Tembus Rp14,5 T";Negative
RI-China Sepakati Pembengkakan Biaya Kereta Cepat Jakarta-Bandung;Positive
"Senat AS Loloskan Legislasi Plafon Utang, Amerika Terhindar dari Bencana Gagal Bayar";Negative
Raksasa Otomotif Amerika Bangun Smelter Ramah Lingkungan di Indonesia;Positive
Eropa Tuduh RI Ajak Inggris dan China Siasati Ekspor Biodiesel;Negative
Porang Indonesia Tembus Pasar Asia hingga Eropa;Positive
Kemenkeu Sebut Kuota Subsisi BBM-LPG 3 Kg Masih Aman;Positive
Kenaikan harga beras di beberapa daerah mengkhawatirkan;Negative
Jokowi akan umumkan perpu baru pengaturan ITE;Neutral
Pendaftaran CPNS dan PPPK 2023 Dibuka Mulai Hari Ini, Cek Caranya di Sini!;Neutral 
China Tingkatkan Investasi pengembangan industri Rempang;Positive
Prestasi atlet indonesia turun dalam sea games;Negative
